season,model,forecast_date,reference_date,location,horizon,y_true,median,wis,mae
2022-23,patchtst,2023-03-18,2023-04-01,54,3,9.0,0.0,4.404781124280847,9.0
2022-23,patchtst,2023-03-18,2023-04-08,54,4,7.0,4.725059509277344,2.8924723616890287,2.2749404907226562
2022-23,patchtst,2023-03-25,2023-03-25,54,1,16.0,3.9071273803710938,6.796424004927926,12.092872619628906
2022-23,patchtst,2023-03-25,2023-04-01,54,2,9.0,7.427635192871094,2.6998520594057833,1.5723648071289062
2022-23,patchtst,2023-03-25,2023-04-08,54,3,7.0,3.0445632934570312,3.473155361673106,3.9554367065429688
2022-23,patchtst,2023-03-25,2023-04-15,54,4,7.0,12.475822448730469,3.623356402853261,5.475822448730469
2022-23,patchtst,2023-04-01,2023-04-01,54,1,9.0,8.919601440429688,2.2365368967470918,0.0803985595703125
2022-23,patchtst,2023-04-01,2023-04-08,54,2,7.0,14.571369171142578,4.300996501756751,7.571369171142578
2022-23,patchtst,2023-04-01,2023-04-15,54,3,7.0,12.246795654296875,3.982994948677395,5.246795654296875
2022-23,patchtst,2023-04-01,2023-04-22,54,4,4.0,19.227108001708984,6.810149940822435,15.227108001708984
2022-23,patchtst,2023-04-08,2023-04-08,54,1,7.0,11.97164535522461,3.0820834383757214,4.971645355224609
2022-23,patchtst,2023-04-08,2023-04-15,54,2,7.0,13.264442443847656,3.861040178381878,6.264442443847656
2022-23,patchtst,2023-04-08,2023-04-22,54,3,4.0,10.110313415527344,4.8983610302469005,6.110313415527344
2022-23,patchtst,2023-04-08,2023-04-29,54,4,5.0,15.11196517944336,5.9933931798520295,10.11196517944336
2022-23,patchtst,2023-04-15,2023-04-15,54,1,7.0,6.361961364746094,1.8309011376422384,0.6380386352539062
2022-23,patchtst,2023-04-15,2023-04-22,54,2,4.0,6.165035247802734,2.5332598910124404,2.1650352478027344
2022-23,patchtst,2023-04-15,2023-04-29,54,3,5.0,2.4972763061523438,2.8956809682431426,2.5027236938476562
2022-23,patchtst,2023-04-15,2023-05-06,54,4,4.0,7.174705505371094,3.3856219615107,3.1747055053710938
2022-23,patchtst,2023-04-22,2023-04-22,54,1,4.0,4.222738265991211,1.4263079751056176,0.22273826599121094
2022-23,patchtst,2023-04-22,2023-04-29,54,2,5.0,4.115818023681641,1.9094120788574218,0.8841819763183594
2022-23,patchtst,2023-04-22,2023-05-06,54,3,4.0,1.678964614868164,2.0543202093373174,2.321035385131836
2022-23,patchtst,2023-04-22,2023-05-13,54,4,5.0,7.540674209594727,2.4362230383831522,2.5406742095947266
2022-23,patchtst,2023-04-29,2023-04-29,54,1,5.0,3.309385299682617,1.489834982830545,1.6906147003173828
2022-23,patchtst,2023-04-29,2023-05-06,54,2,4.0,1.1639232635498047,1.6300096072321353,2.8360767364501953
2022-23,patchtst,2023-04-29,2023-05-13,54,3,5.0,0.6047153472900391,2.5001963996887206,4.395284652709961
2022-23,patchtst,2023-04-29,2023-05-20,54,4,9.0,4.206869125366211,2.981382043258004,4.793130874633789
2022-23,patchtst,2022-11-05,2022-11-05,55,1,33.0,10.779844284057617,15.754445952643518,22.220155715942383
2022-23,patchtst,2022-11-05,2022-11-12,55,2,45.0,12.313743591308594,24.58461954137553,32.686256408691406
2022-23,patchtst,2022-11-05,2022-11-19,55,3,88.0,15.797603607177734,62.10399259339208,72.20239639282227
2022-23,patchtst,2022-11-05,2022-11-26,55,4,235.0,17.23395538330078,201.89274891500887,217.76604461669922
2022-23,patchtst,2022-11-12,2022-11-12,55,1,45.0,20.803325653076172,14.612095898234326,24.196674346923828
2022-23,patchtst,2022-11-12,2022-11-19,55,2,88.0,21.017812728881836,52.953417643153145,66.98218727111816
2022-23,patchtst,2022-11-12,2022-11-26,55,3,235.0,24.0581111907959,191.43861685980926,210.9418888092041
2022-23,patchtst,2022-11-12,2022-12-03,55,4,459.0,27.002614974975586,403.8588107959085,431.9973850250244
2022-23,patchtst,2022-11-19,2022-11-19,55,1,88.0,42.37078857421875,31.689891460667482,45.62921142578125
2022-23,patchtst,2022-11-19,2022-11-26,55,2,235.0,45.074676513671875,170.17283845652702,189.92532348632812
2022-23,patchtst,2022-11-19,2022-12-03,55,3,459.0,48.59709930419922,379.5806916858839,410.4029006958008
2022-23,patchtst,2022-11-19,2022-12-10,55,4,479.0,51.0001220703125,381.6894708185611,427.9998779296875
2022-23,patchtst,2022-11-26,2022-11-26,55,1,235.0,65.89160919189453,141.53205559689064,169.10839080810547
2022-23,patchtst,2022-11-26,2022-12-03,55,2,459.0,69.89231872558594,352.60890114328134,389.10768127441406
2022-23,patchtst,2022-11-26,2022-12-10,55,3,479.0,75.31287384033203,352.2655637749382,403.68712615966797
2022-23,patchtst,2022-11-26,2022-12-17,55,4,483.0,80.38041687011719,328.0931222683451,402.6195831298828
