reference_date,location,value,post_mandatory
2023-08-19,AR,7.0,False
2023-08-26,AR,9.0,False
2023-09-02,AR,6.0,False
2023-09-09,AR,8.0,False
2023-09-16,AR,7.0,False
2023-09-23,AR,6.0,False
2023-09-30,AR,10.0,False
2023-10-07,AR,17.0,False
2023-10-14,AR,15.0,False
2023-10-21,AR,18.0,False
2023-10-28,AR,13.0,False
2023-11-04,AR,18.0,False
2023-11-11,AR,24.0,False
2023-11-18,AR,17.0,False
2023-11-25,AR,57.0,False
2023-12-02,AR,24.0,False
2023-12-09,AR,41.0,False
2023-12-16,AR,53.0,False
2023-12-23,AR,96.0,False
2023-12-30,AR,187.0,False
2024-01-06,AR,234.0,False
2024-01-13,AR,223.0,False
2024-01-20,AR,227.0,False
2024-01-27,AR,275.0,False
2024-02-03,AR,245.0,False
2024-02-10,AR,291.0,False
2024-02-17,AR,258.0,False
2024-02-24,AR,275.0,False
2024-03-02,AR,278.0,False
2024-03-09,AR,247.0,False
2024-03-16,AR,190.0,False
2024-03-23,AR,103.0,False
2024-03-30,AR,82.0,False
2024-04-06,AR,60.0,False
2024-04-13,AR,47.0,False
2024-04-20,AR,30.0,False
2024-04-27,AR,60.0,False
2024-05-04,AR,14.0,False
2024-05-11,AR,12.0,False
2024-05-18,AR,0.0,False
2024-05-25,AR,2.0,False
2024-06-01,AR,6.0,False
2024-06-08,AR,5.0,False
2024-06-15,AR,5.0,False
2024-06-22,AR,5.0,False
2024-06-29,AR,1.0,False
2024-07-06,AR,4.0,False
2024-07-13,AR,5.0,False
2024-07-20,AR,7.0,False
2024-07-27,AR,8.0,False
2024-08-03,AR,4.0,False
2024-08-10,AR,6.0,False
2024-08-17,AR,4.0,False
2024-08-24,AR,4.0,False
2024-08-31,AR,5.0,False
2024-09-07,AR,7.0,False
2024-09-14,AR,2.0,False
2024-09-21,AR,3.0,False
2024-09-28,AR,0.0,False
2024-10-05,AR,3.0,False
2024-10-12,AR,0.0,False
2024-10-19,AR,2.0,False
2024-10-26,AR,1.0,False
2024-11-02,AR,6.0,True
2024-11-09,AR,11.0,True
2024-11-16,AR,13.0,True
2024-11-23,AR,8.0,True
2024-11-30,AR,12.0,True
2024-12-07,AR,32.0,True
2024-12-14,AR,42.0,True
2024-12-21,AR,59.0,True
2024-12-28,AR,127.0,True
2025-01-04,AR,212.0,True
2025-01-11,AR,158.0,True
2025-01-18,AR,223.0,True
2025-01-25,AR,388.0,True
2025-02-01,AR,551.0,True
2025-02-08,AR,752.0,True
2025-02-15,AR,543.0,True
2025-02-22,AR,392.0,True
2025-03-01,AR,363.0,True
2025-03-08,AR,326.0,True
2025-03-15,AR,232.0,True
2025-03-22,AR,165.0,True
2025-03-29,AR,111.0,True
2025-04-05,AR,71.0,True
2025-04-12,AR,34.0,True
2025-04-19,AR,29.0,True
2025-04-26,AR,24.0,True
2025-05-03,AR,21.0,True
2025-05-10,AR,13.0,True
2025-05-17,AR,13.0,True
2025-05-24,AR,14.0,True
2025-05-31,AR,14.0,True
2025-06-07,AR,14.0,True
2025-06-14,AR,12.0,True
2025-06-21,AR,14.0,True
2025-06-28,AR,20.0,True
2025-07-05,AR,5.0,True
2025-07-12,AR,8.0,True
2025-07-19,AR,4.0,True
2025-07-26,AR,4.0,True
2025-08-02,AR,2.0,True
2025-08-09,AR,2.0,True
2025-08-16,AR,4.0,True
2025-08-23,AR,3.0,True
